Date,Index Code,Index Name,Index Name(Eng.),Constituent Code,Constituent Name,Constituent Name(Eng.),Exchange,(%)Weight(%)
2017-11-30,000300,沪深300,CSI 300,600663,陆家嘴,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd,SHH,0.14
2017-11-30,000300,沪深300,CSI 300,600674,川投能源,Sichuan Chuantou Energy Co Ltd,SHH,0.19
2017-11-30,000300,沪深300,CSI 300,600682,南京新百,Nanjing Xinjiekou Department Store Co Ltd,SHH,0.15
2017-11-30,000300,沪深300,CSI 300,600685,中船防务,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,SHH,0.08
2017-11-30,000300,沪深300,CSI 300,600688,上海石化,Sinopec Shanghai Petrochemical Co Ltd,SHH,0.12
2017-11-30,000300,沪深300,CSI 300,600690,青岛海尔,Qingdao Haier Co Ltd,SHH,0.46
2017-11-30,000300,沪深300,CSI 300,600703,三安光电,"Sanan Optoelectronics Co.,Ltd",SHH,0.52
2017-11-30,000300,沪深300,CSI 300,600704,物产中大,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd,SHH,0.11
2017-11-30,000300,沪深300,CSI 300,600705,中航资本,"AVIC CAPITAL CO.,LTD.",SHH,0.24
2017-11-30,000300,沪深300,CSI 300,600718,东软集团,Neusoft Corporation,SHH,0.12
2017-11-30,000300,沪深300,CSI 300,600737,中粮糖业,"COFCO TUNHE SUGAR CO.,LTD.",SHH,0.08
2017-11-30,000300,沪深300,CSI 300,600739,辽宁成大,Liaoning Cheng Da Co Ltd,SHH,0.19
2017-11-30,000300,沪深300,CSI 300,600741,华域汽车,HUAYU Automotive Systems Company Limited,SHH,0.35
2017-11-30,000300,沪深300,CSI 300,600795,国电电力,GD Power Development Co Ltd,SHH,0.35
2017-11-30,000300,沪深300,CSI 300,600804,鹏博士,"DR. PENG TELECOM&MEDIA GROUP CO., LTD.",SHH,0.2
2017-11-30,000300,沪深300,CSI 300,600816,安信信托,"Anxin Trust Co., Ltd",SHH,0.22
2017-11-30,000300,沪深300,CSI 300,600820,隧道股份,Shanghai Tunnel Engineering Co Ltd,SHH,0.15
2017-11-30,000300,沪深300,CSI 300,600827,百联股份,"Shanghai Bailian Group Co.,Ltd.",SHH,0.09
2017-11-30,000300,沪深300,CSI 300,600837,海通证券,Haitong Securities Company Limited,SHH,1.02
