Constituent Code,weight,Constituent Name,Constituent Name(Eng.),Exchange
2174,0.0006,游族网络,"YOUZU Interactive CO., LTD.",SHZ
2183,0.001,怡亚通,Eternal Asia Supply Chain Management Ltd,SHZ
2195,0.001,二三四五,"Shanghai 2345 Network Holding Group Co., Ltd.",SHZ
2202,0.0028,金风科技,Xinjiang Goldwind Science & Technology Co Ltd,SHZ
2230,0.0056,科大讯飞,"Iflytek Co.,Ltd.",SHZ
2236,0.0031,大华股份,Zhejiang Dahua Technology Co Ltd,SHZ
2241,0.0032,歌尔股份,GoerTek Inc,SHZ
2252,0.0026,上海莱士,Shanghai RAAS Blood Products Co Ltd,SHZ
2292,0.0007,奥飞娱乐,Alpha Group,SHZ
2299,0.0006,圣农发展,Fujian Sunner Development Co Ltd,SHZ
2304,0.0055,洋河股份,Jiangsu Yanghe Brewery Joint-Stock Co Ltd,SHZ
2310,0.0019,东方园林,Beijing Orient Landscape Co Ltd,SHZ
2352,0.001,顺丰控股,"S.F. Holding Co., Ltd.",SHZ
2385,0.0012,大北农,Beijing Dabeinong Technology Group Co Ltd,SHZ
2411,0.0011,必康股份,JiangSu Bicon Pharmaceutical Listed Company,SHZ
2415,0.012,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,SHZ
2424,0.0006,贵州百灵,Guizhou Bailing Group Pharmaceutical Co Ltd,SHZ
2426,0.0011,胜利精密,Suzhou Victory Precision Manufacture Co Ltd,SHZ
2450,0.0051,康得新,"Kangde Xin Composite Material Group Co.,Ltd.",SHZ
2456,0.0037,欧菲科技,"O-film Tech Co., Ltd.",SHZ
2465,0.0013,海格通信,Guangzhou Haige Communications Group Incorporated Company,SHZ
2466,0.0032,天齐锂业,"Tianqi Lithium Industries, Inc.",SHZ
2470,0.0013,金正大,"Kingenta Ecological Engineering Group Co., Ltd",SHZ
2475,0.0026,立讯精密,"Luxshare Precision Industry Co., Ltd.",SHZ
2500,0.0015,山西证券,Shanxi Securities Co Ltd,SHZ
2508,0.0019,老板电器,Hangzhou Robam Appliances Co Ltd,SHZ
2555,0.0007,三七互娱,"Wuhu Shunrong Sanqi Interactive Entertainment Network Technology Co.,Ltd.",SHZ
2558,0.0008,巨人网络,"Giant Network Group Co., Ltd.",SHZ
2594,0.003,比亚迪,BYD Co Ltd,SHZ
2602,0.0009,世纪华通,"ZHEJIANG CENTURY HUATONG GROUP CO., LTD",SHZ
2673,0.002,西部证券,"WESTERN SECURITIES CO., LTD",SHZ
2714,0.0014,牧原股份,"Muyuan Foodstuff Co., Ltd",SHZ
2736,0.0027,国信证券,"GUOSEN SECURITIES CO., LTD.",SHZ
2739,0.0022,万达电影,"WANDA FILM HOLDING CO., LTD",SHZ
2797,0.0003,第一创业,"First Capital Securities Co., Ltd.",SHZ
2831,0.0003,裕同科技,"ShenZhen YUTO Packaging Technology Co., Ltd.",SHZ
2839,0.0002,张家港行,"Jiangsu Zhangjiagang Rural Commercial Bank Co., Ltd",SHZ
2841,0.0003,视源股份,Guangzhou Shiyuan Electronic Technology Company Limited,SHZ
300017,0.0012,网宿科技,"Wangsu Science and Technology Co.,Ltd.",SHZ
300024,0.0019,机器人,Siasun Robot & Automation Co Ltd,SHZ
300027,0.0012,华谊兄弟,Huayi Brothers Media Co Ltd,SHZ
300033,0.0009,同花顺,"Hithink Royalflush Information Network Co.,Ltd.",SHZ
300059,0.0031,东方财富,East Money Information Co Ltd,SHZ
300070,0.0028,碧水源,Beijing Originwater Technology Co Ltd,SHZ
300072,0.0027,三聚环保,Beijing SJ Environmental Protection and New Material Co Ltd,SHZ
300104,0.0032,乐视网,Leshi Internet Information & Technology Corp Beijing,SHZ
300124,0.0023,汇川技术,Shenzhen Inovance Technology Co Ltd,SHZ
300133,0.0006,华策影视,Zhejiang Huace Film & TV Co Ltd,SHZ
300144,0.0012,宋城演艺,"SONGCHENG PERFORMANCE DEVELOPMENT CO., LTD.",SHZ
300168,0.0008,万达信息,Wonders Information Co Ltd,SHZ
300251,0.0007,光线传媒,Beijing Enlight Media Co Ltd,SHZ
300315,0.001,掌趣科技,"OURPALM CO., LTD",SHZ
